cluster_label,ra_deg_param,dec_deg_param,r_sun_display_param,r_gc_kpc_display_param,n_rv,n_pm,present_mass_display,v_mag_display,mass_to_light_display,core_radius_pc,half_light_radius_pc,half_mass_radius_pc,tidal_radius_pc,log_core_density,log_half_mass_density,log_relaxation_time_yr,log_initial_mass_msun,remaining_dissolution_time_gyr,mass_range_display,mf_slope_display,sigma0_kms,vesc_kms,eta_core,eta_half_mass,rotation_amplitude_display,rotation_probability_percent,r_sun_kpc_param,r_gc_kpc_param,present_mass_msun,v_mag,mass_to_light_v,mf_slope,rotation_amplitude_kms,ra_deg,dec_deg,galactic_l_deg,galactic_b_deg,r_sun_display,r_gc_kpc_display,rv_kms_display,pmra_masyr_display,pmdec_masyr_display,pm_correlation,x_kpc_display,y_kpc_display,z_kpc_display,u_kms_display,v_kms_display,w_kms_display,r_peri_kpc_display,r_apo_kpc_display,r_sun_kpc,r_gc_kpc,rv_kms,pmra_masyr,pmdec_masyr,x_kpc,y_kpc,z_kpc,u_kms,v_kms,w_kms,r_peri_kpc,r_apo_kpc,cluster_name,cluster_alias,semi_major_axis_kpc,eccentricity,initial_mass_msun,mass_loss_fraction,radius_bin_paper
Ter 5,267.0202,-24.77906,6.62 ± 0.15,1.65 ± 0.13,336,112,1.09 ± 0.08 · 106,12.36 ± 0.08,2.95 ± 0.31,0.67,1.77,4.03,51.26,4.72,3.35,9.43,6.72,7.5,0.71 − 0.88,-1.35 ± 0.28,15.6,57.5,-0.09,-0.02,7.97 ± 2.38,100.0,6.62,1.65,1090000.0,12.36,2.95,-1.35,7.97,267.0202,-24.779055,3.839,1.687,6.62 ± 0.15,1.65 ± 0.13,-81.97 ± 0.85,-1.864 ± 0.030,-5.108 ± 0.027,0.33,1.58 ± 0.15,0.44 ± 0.01,0.19 ± 0.00,58.48 ± 0.85,79.79 ± 0.88,-27.76 ± 0.92,0.27 ± 0.04,1.69 ± 0.15,6.62,1.65,-81.97,-1.864,-5.108,1.58,0.44,0.19,58.48,79.79,-27.76,0.27,1.69,Ter 5,,0.98,0.7244897959183674,5248074.602497723,0.7923047817420059,inner_<3kpc
NGC 6642,277.97596,-23.4756,8.05 ± 0.20,1.66 ± 0.01,26,1099,3.95 ± 0.13 · 104,9.65 ± 0.05,1.40 ± 0.08,0.11,1.37,1.73,16.22,5.24,2.96,8.04,6.53,0.3,0.32 − 0.80,1.00 ± 0.15,5.0,20.0,-0.37,-0.12,,,8.05,1.66,39500.0,9.65,1.4,1.0,,277.975957,-23.475602,9.815,-6.439,8.05 ± 0.20,1.66 ± 0.01,-60.61 ± 1.35,-0.175 ± 0.013,-3.900 ± 0.013,0.23,0.30 ± 0.20,1.36 ± 0.03,-0.90 ± 0.02,31.86 ± 1.32,106.97 ± 0.53,-46.79 ± 0.53,0.27 ± 0.08,1.82 ± 0.08,8.05,1.66,-60.61,-0.175,-3.9,0.3,1.36,-0.9,31.86,106.97,-46.79,0.27,1.82,NGC 6642,,1.045,0.7416267942583733,3388441.5613920274,0.9883427235546678,inner_<3kpc
NGC 6355,260.99353,-26.35283,8.65 ± 0.22,0.93 ± 0.12,48,1822,9.91 ± 0.26 · 104,10.04 ± 0.07,1.61 ± 0.11,0.2,2.36,3.34,14.57,4.86,2.5,8.79,6.11,2.2,0.50 − 0.78,-0.50 ± 0.19,5.6,21.6,-0.37,-0.13,,,8.65,0.93,99100.0,10.04,1.61,-0.5,,260.993533,-26.352827,359.585,5.429,8.65 ± 0.22,0.93 ± 0.12,-195.85 ± 0.55,-4.732 ± 0.015,-0.558 ± 0.014,0.27,-0.44 ± 0.22,-0.06 ± 0.00,0.82 ± 0.02,198.82 ± 0.55,126.39 ± 0.60,136.36 ± 0.62,0.79 ± 0.08,1.50 ± 0.26,8.65,0.93,-195.85,-4.732,-0.558,-0.44,-0.06,0.82,198.82,126.39,136.36,0.79,1.5,NGC 6355,,1.145,0.31004366812227074,1288249.551693135,0.9230739107420967,inner_<3kpc
NGC 6325,259.49633,-23.76768,7.53 ± 0.32,1.28 ± 0.13,45,1095,6.19 ± 0.21 · 104,10.90 ± 0.04,2.20 ± 0.11,0.11,1.72,2.38,20.42,5.29,2.74,8.41,5.99,1.6,0.50 − 0.80,-0.30 ± 0.30,5.3,20.6,-0.36,-0.12,,,7.53,1.28,61900.00000000001,10.9,2.2,-0.3,,259.496327,-23.767677,0.971,8.003,7.53 ± 0.32,1.28 ± 0.13,29.54 ± 0.58,-8.288 ± 0.029,-8.987 ± 0.028,0.17,0.72 ± 0.32,0.13 ± 0.01,1.05 ± 0.04,-38.92 ± 0.59,-179.39 ± 1.02,73.60 ± 1.02,1.05 ± 0.03,1.31 ± 0.13,7.53,1.28,29.54,-8.288,-8.987,0.72,0.13,1.05,-38.92,-179.39,73.6,1.05,1.31,NGC 6325,,1.1800000000000002,0.11016949152542371,977237.2209558112,0.9366581637778213,inner_<3kpc
Pal 6,265.92581,-26.22499,7.05 ± 0.45,1.19 ± 0.40,23,80,8.56 ± 1.90 · 104,11.60 ± 0.06,1.39 ± 0.32,0.61,2.27,2.91,10.43,3.78,2.61,8.63,6.51,0.7,—,0.38 ± 0.30,5.1,19.7,-0.37,-0.11,,,7.05,1.19,85600.0,11.6,1.39,0.38,,265.925812,-26.224995,2.09,1.779,7.05 ± 0.45,1.19 ± 0.40,177.00 ± 1.35,-9.190 ± 0.021,-5.283 ± 0.018,0.27,1.14 ± 0.45,0.26 ± 0.02,0.22 ± 0.01,-194.00 ± 1.34,-52.44 ± 0.62,181.72 ± 0.66,0.29 ± 0.09,2.08 ± 0.70,7.05,1.19,177.0,-9.19,-5.283,1.14,0.26,0.22,-194.0,-52.44,181.72,0.29,2.08,Pal 6,,1.185,0.7552742616033755,3235936.569296281,0.9735470710976837,inner_<3kpc
NGC 6380,263.61861,-39.06953,9.61 ± 0.30,2.15 ± 0.21,70,5783,3.41 ± 0.05 · 105,10.70 ± 0.12,2.96 ± 0.33,0.95,3.14,4.42,40.24,3.85,2.68,9.24,6.56,2.8,0.53 − 0.83,-0.54 ± 0.17,8.3,31.8,-0.33,-0.09,,,9.61,2.15,341000.0,10.7,2.96,-0.54,,263.618611,-39.06953,350.182,-3.422,9.61 ± 0.30,2.15 ± 0.21,-1.48 ± 0.73,-2.186 ± 0.017,-3.256 ± 0.016,-0.02,-1.27 ± 0.30,-1.64 ± 0.05,-0.57 ± 0.02,20.58 ± 0.74,76.51 ± 0.73,11.08 ± 0.75,0.28 ± 0.05,2.11 ± 0.24,9.61,2.15,-1.48,-2.186,-3.256,-1.27,-1.64,-0.57,20.58,76.51,11.08,0.28,2.11,NGC 6380,,1.1949999999999998,0.7656903765690377,3630780.54770101,0.9060808012161684,inner_<3kpc
HP 1,262.77167,-29.98167,7.00 ± 0.14,1.26 ± 0.13,28,116,1.37 ± 0.19 · 105,11.07 ± 0.11,3.64 ± 0.63,0.99,3.1,4.19,18.56,3.41,2.35,9.01,6.15,2.9,0.45 − 0.82,-0.02 ± 0.28,5.4,20.3,-0.33,-0.13,,,7.0,1.26,137000.0,11.07,3.64,-0.02,,262.771667,-29.981667,357.425,2.115,7.00 ± 0.14,1.26 ± 0.13,39.76 ± 1.22,2.500 ± 0.028,-10.049 ± 0.027,0.17,1.19 ± 0.14,-0.31 ± 0.01,0.26 ± 0.01,-49.60 ± 1.22,16.99 ± 0.89,-243.09 ± 0.91,0.72 ± 0.13,1.67 ± 0.11,7.0,1.26,39.76,2.5,-10.049,1.19,-0.31,0.26,-49.6,16.99,-243.09,0.72,1.67,HP 1,,1.1949999999999998,0.397489539748954,1412537.5446227554,0.9030114275393731,inner_<3kpc
NGC 6637 M 69,277.84625,-32.34808,8.90 ± 0.10,1.71 ± 0.05,69,3720,1.38 ± 0.02 · 105,7.62 ± 0.04,1.53 ± 0.06,0.57,2.41,3.19,24.2,4.02,2.71,8.78,6.3,1.8,0.26 − 0.86,0.10 ± 0.19,6.3,24.3,-0.34,-0.1,,,8.9,1.71,138000.0,7.62,1.53,0.1,,277.846252,-32.348084,1.723,-10.269,8.90 ± 0.10,1.71 ± 0.05,47.48 ± 1.00,-5.053 ± 0.007,-5.825 ± 0.007,0.4,-0.58 ± 0.10,0.26 ± 0.00,-1.59 ± 0.02,-82.47 ± 0.98,-59.69 ± 0.28,82.89 ± 0.33,0.40 ± 0.09,2.03 ± 0.08,8.9,1.71,47.48,-5.053,-5.825,-0.58,0.26,-1.59,-82.47,-59.69,82.89,0.4,2.03,NGC 6637,M 69,1.2149999999999999,0.6707818930041153,1995262.3149688789,0.9308361617594364,inner_<3kpc
NGC 6342,260.29157,-19.58766,8.01 ± 0.23,1.54 ± 0.02,52,1719,3.77 ± 0.10 · 104,9.86 ± 0.07,1.63 ± 0.11,0.17,1.48,1.86,14.97,4.82,2.85,8.08,5.99,1.0,0.41 − 0.82,0.65 ± 0.17,4.6,18.4,-0.37,-0.12,,,8.01,1.54,37700.0,9.86,1.63,0.65,,260.291573,-19.587659,4.898,9.725,8.01 ± 0.23,1.54 ± 0.02,115.75 ± 0.90,-2.915 ± 0.013,-7.106 ± 0.013,-0.07,0.31 ± 0.23,0.67 ± 0.02,1.35 ± 0.04,-158.75 ± 0.89,-22.34 ± 0.49,-29.08 ± 0.52,0.84 ± 0.09,1.66 ± 0.04,8.01,1.54,115.75,-2.915,-7.106,0.31,0.67,1.35,-158.75,-22.34,-29.08,0.84,1.66,NGC 6342,,1.25,0.32799999999999996,977237.2209558112,0.9614218541910156,inner_<3kpc
NGC 6401,264.65219,-23.9096,7.44 ± 0.22,1.03 ± 0.14,25,3590,1.21 ± 0.02 · 105,9.97 ± 0.05,1.83 ± 0.09,0.36,2.31,3.17,15.81,4.4,2.66,8.8,6.32,1.8,0.40 − 0.81,-0.40 ± 0.17,6.0,23.6,-0.36,-0.13,,,7.44,1.03,121000.0,9.97,1.83,-0.4,,264.652191,-23.909605,3.45,3.98,7.44 ± 0.22,1.03 ± 0.14,-105.44 ± 2.50,-2.762 ± 0.010,1.464 ± 0.008,0.29,0.77 ± 0.22,0.45 ± 0.01,0.52 ± 0.02,101.04 ± 2.48,237.50 ± 0.34,109.65 ± 0.38,0.47 ± 0.14,2.12 ± 0.34,7.44,1.03,-105.44,-2.762,1.464,0.77,0.45,0.52,101.04,237.5,109.65,0.47,2.12,NGC 6401,,1.295,0.6370656370656371,2089296.1308540408,0.9420857588289608,inner_<3kpc
NGC 6638,277.73373,-25.49747,9.78 ± 0.34,2.30 ± 0.25,12,90,1.24 ± 0.23 · 105,8.79 ± 0.10,1.56 ± 0.32,0.48,1.84,2.28,29.05,4.26,3.1,8.49,6.47,1.1,0.42 − 0.82,0.71 ± 0.22,7.0,26.7,-0.35,-0.09,,,9.78,2.3,124000.0,8.79,1.56,0.71,,277.733734,-25.497473,7.896,-7.153,9.78 ± 0.34,2.30 ± 0.25,8.63 ± 2.00,-2.515 ± 0.011,-4.069 ± 0.010,0.2,-1.43 ± 0.33,1.33 ± 0.05,-1.22 ± 0.04,-52.31 ± 1.97,35.04 ± 0.54,25.45 ± 0.55,0.28 ± 0.08,2.36 ± 0.26,9.78,2.3,8.63,-2.515,-4.069,-1.43,1.33,-1.22,-52.31,35.04,25.45,0.28,2.36,NGC 6638,,1.3199999999999998,0.787878787878788,2951209.226666384,0.9579833246387388,inner_<3kpc
ESO 452-SC11,249.85417,-28.39917,7.39 ± 0.20,2.12 ± 0.05,14,48,7.32 ± 3.01 · 103,11.76 ± 0.06,2.14 ± 0.89,0.63,2.48,3.26,10.55,2.67,1.4,8.15,6.27,0.1,—,0.50 ± 0.30,1.4,5.5,-0.33,-0.1,,,7.39,2.12,7320.0,11.76,2.14,0.5,,249.854167,-28.399167,351.909,12.098,7.39 ± 0.20,2.12 ± 0.05,16.75 ± 0.44,-1.437 ± 0.024,-6.471 ± 0.022,-0.25,1.03 ± 0.19,-1.02 ± 0.03,1.55 ± 0.04,-20.80 ± 0.48,43.24 ± 0.80,-94.85 ± 0.81,0.35 ± 0.10,2.37 ± 0.13,7.39,2.12,16.75,-1.437,-6.471,1.03,-1.02,1.55,-20.8,43.24,-94.85,0.35,2.37,ESO 452-SC11,,1.36,0.7426470588235293,1862087.1366628655,0.9960689272505697,inner_<3kpc
Ter 9,270.41167,-26.83972,5.77 ± 0.34,2.46 ± 0.33,130,70,1.37 ± 0.16 · 105,12.73 ± 0.13,3.67 ± 0.62,0.28,1.67,2.58,31.61,4.84,2.98,8.67,6.33,1.7,0.62 − 0.80,-0.96 ± 0.28,7.3,29.1,-0.39,-0.11,,,5.77,2.46,137000.0,12.73,3.67,-0.96,,270.411667,-26.839722,3.603,-1.989,5.77 ± 0.34,2.46 ± 0.33,68.56 ± 0.54,-2.168 ± 0.031,-7.698 ± 0.029,0.34,2.42 ± 0.34,0.36 ± 0.02,-0.20 ± 0.01,-91.02 ± 0.54,44.46 ± 0.81,-47.51 ± 0.83,0.37 ± 0.08,2.55 ± 0.41,5.77,2.46,68.56,-2.168,-7.698,2.42,0.36,-0.2,-91.02,44.46,-47.51,0.37,2.55,Ter 9,,1.46,0.7465753424657533,2137962.0895022326,0.9359202856436538,inner_<3kpc
NGC 6453,267.71551,-34.59848,10.07 ± 0.22,2.10 ± 0.19,21,2444,1.68 ± 0.04 · 105,9.19 ± 0.13,1.49 ± 0.18,0.13,2.76,3.87,32.92,5.49,2.54,9.0,6.31,2.5,0.43 − 0.78,-0.61 ± 0.19,7.1,27.9,-0.38,-0.11,,,10.07,2.1,168000.0,9.19,1.49,-0.61,,267.715508,-34.598477,355.718,-3.872,10.07 ± 0.22,2.10 ± 0.19,-99.23 ± 1.24,0.165 ± 0.021,-5.920 ± 0.021,0.18,-1.84 ± 0.22,-0.75 ± 0.02,-0.68 ± 0.01,115.63 ± 1.24,21.74 ± 1.00,-136.21 ± 1.02,0.45 ± 0.11,2.52 ± 0.23,10.07,2.1,-99.23,0.165,-5.92,-1.84,-0.75,-0.68,115.63,21.74,-136.21,0.45,2.52,NGC 6453,,1.485,0.6969696969696969,2041737.9446695275,0.917717158346101,inner_<3kpc
Gran 5,267.228,-24.17,4.91 ± 0.31,3.31 ± 0.29,2,24,2.29 ± 1.00 · 104,12.11,1.88 ± 0.89,0.43,1.73,2.2,21.51,3.64,2.41,8.1,6.35,0.2,—,0.54 ± 0.30,3.1,11.8,-0.36,-0.15,,,4.91,3.31,22900.0,12.11,1.88,0.54,,267.228,-24.17,4.459,1.839,4.91 ± 0.31,3.31 ± 0.29,-58.87 ± 3.27,-5.353 ± 0.046,-9.312 ± 0.043,0.06,3.29 ± 0.31,0.38 ± 0.02,0.16 ± 0.01,27.97 ± 3.25,-1.55 ± 1.05,0.70 ± 1.06,0.32 ± 0.08,2.85 ± 0.32,4.91,3.31,-58.87,-5.353,-9.312,3.29,0.38,0.16,27.97,-1.55,0.7,0.32,2.85,Gran 5,,1.585,0.7981072555205049,2238721.138568338,0.9897709457397429,inner_<3kpc
NGC 6293,257.5425,-26.58208,9.19 ± 0.28,1.60 ± 0.18,412,140,1.42 ± 0.12 · 105,8.40 ± 0.11,1.77 ± 0.23,0.06,2.21,3.18,24.19,6.66,2.73,8.83,6.32,2.6,0.24 − 0.78,-0.50 ± 0.20,7.5,27.4,-0.38,-0.13,,,9.19,1.6,142000.0,8.4,1.77,-0.5,,257.5425,-26.582083,357.62,7.834,9.19 ± 0.28,1.60 ± 0.18,-143.66 ± 0.39,0.865 ± 0.020,-4.330 ± 0.020,-0.04,-0.92 ± 0.28,-0.38 ± 0.01,1.25 ± 0.04,117.36 ± 0.42,126.19 ± 1.07,-151.88 ± 1.07,0.44 ± 0.13,2.79 ± 0.39,9.19,1.6,-143.66,0.865,-4.33,-0.92,-0.38,1.25,117.36,126.19,-151.88,0.44,2.79,NGC 6293,,1.615,0.7275541795665635,2089296.1308540408,0.9320345268901854,inner_<3kpc
Ter 1,263.94667,-30.48178,5.67 ± 0.17,2.52 ± 0.17,29,140,1.99 ± 0.25 · 105,12.40 ± 0.12,2.31 ± 0.38,0.36,1.47,1.86,38.22,4.8,3.57,8.44,6.19,3.8,0.66 − 0.82,0.17 ± 0.34,9.8,37.9,-0.36,-0.12,,,5.67,2.52,199000.0,12.4,2.31,0.17,,263.946667,-30.481778,357.558,0.991,5.67 ± 0.17,2.52 ± 0.17,57.55 ± 1.61,-2.886 ± 0.046,-4.870 ± 0.044,0.08,2.51 ± 0.17,-0.24 ± 0.01,0.10 ± 0.00,-62.20 ± 1.61,97.77 ± 1.21,2.95 ± 1.22,0.57 ± 0.09,2.68 ± 0.17,5.67,2.52,57.55,-2.886,-4.87,2.51,-0.24,0.1,-62.2,97.77,2.95,0.57,2.68,Ter 1,,1.625,0.6492307692307693,1548816.6189124826,0.8715148084221036,inner_<3kpc
